id,name,nrate,pic_url
13,Catan,77596,https://cf.geekdo-images.com/micro/img/e0y6BognJpgqdsgn2mXP5AARp98=/fit-in/64x64/pic2419375.jpg
822,Carcassonne,77239,https://cf.geekdo-images.com/micro/img/z0tTaije1bRO7y8zKLxgx2IObNo=/fit-in/64x64/pic2337577.jpg
30549,Pandemic,74434,https://cf.geekdo-images.com/micro/img/0m3-oqBk1jhb7YouAZoZmoJA7Wc=/fit-in/64x64/pic1534148.jpg
36218,Dominion,63194,https://cf.geekdo-images.com/micro/img/VYp2s2f8X0Jmxrlzk02J9Ml2Jkw=/fit-in/64x64/pic394356.jpg
68448,7 Wonders,61613,https://cf.geekdo-images.com/micro/img/h-Ejv31TdN2d4KNPXwopv6w8pF0=/fit-in/64x64/pic860217.jpg
9209,Ticket to Ride,55217,https://cf.geekdo-images.com/micro/img/2ytp3TGuItH2Zzur8-NAiWtt6Xw=/fit-in/64x64/pic38668.jpg
31260,Agricola,53555,https://cf.geekdo-images.com/micro/img/Snnyt1cOfe1N0_KKyMBHSpd6Xms=/fit-in/64x64/pic259085.jpg
3076,Puerto Rico,52930,https://cf.geekdo-images.com/micro/img/ti5gCF_R-aSfg3uzg31b3lMUP9A=/fit-in/64x64/pic158548.jpg
40692,Small World,49383,https://cf.geekdo-images.com/micro/img/TTJkpvNsOzwyG8wyMn7gNecKT4o=/fit-in/64x64/pic428828.jpg
2651,Power Grid,46766,https://cf.geekdo-images.com/micro/img/hOqwekxToV2DC4zQiEkXBtKwSnI=/fit-in/64x64/pic173153.jpg
70323,King of Tokyo,43644,https://cf.geekdo-images.com/micro/img/odNnf-r5JCQdd5EljlGVXrHxzYA=/fit-in/64x64/pic3043734.jpg
129622,Love Letter,42476,https://cf.geekdo-images.com/micro/img/LzBSskuSV6KGFYmav14Xhgh1tSU=/fit-in/64x64/pic1401448.jpg
178900,Codenames,42378,https://cf.geekdo-images.com/micro/img/3Ihe0IBw2D48rOjQHaGRkxAEnQo=/fit-in/64x64/pic2582929.jpg
14996,Ticket to Ride: Europe,42260,https://cf.geekdo-images.com/micro/img/uaXK68_N-ucaFwwoSjzMivdKqAw=/fit-in/64x64/pic66668.jpg
478,Citadels,41340,https://cf.geekdo-images.com/micro/img/gpoesw1jJLGQAtnzIhCd7xpnLf4=/fit-in/64x64/pic3239104.jpg
148228,Splendor,38810,https://cf.geekdo-images.com/micro/img/30n55USi7MaV67ZzBMXZo2IhBdE=/fit-in/64x64/pic1904079.jpg
28143,Race for the Galaxy,37969,https://cf.geekdo-images.com/micro/img/gON7K0M9EpzwQTh0yRohSMadL9o=/fit-in/64x64/pic236327.jpg
39856,Dixit,37047,https://cf.geekdo-images.com/micro/img/AGIqA_s0OnpZoayUxbrocTU8e9k=/fit-in/64x64/pic3483909.jpg
34635,Stone Age,34980,https://cf.geekdo-images.com/micro/img/1i1odyBNIWq1fhb5zFGLpyW34Gs=/fit-in/64x64/pic1632539.jpg
110327,Lords of Waterdeep,34726,https://cf.geekdo-images.com/micro/img/NQ_AXwU2GNGNxjitZ7Dfx6dRm5k=/fit-in/64x64/pic1116080.jpg
1927,Munchkin,33047,https://cf.geekdo-images.com/micro/img/NZBajzli3sEXYIyQ1F0mRZuGBn4=/fit-in/64x64/pic1871016.jpg
15987,Arkham Horror,32650,https://cf.geekdo-images.com/micro/img/rDHxOf6xaqEsAYvklko9nAfqCvU=/fit-in/64x64/pic175966.jpg
173346,7 Wonders Duel,32351,https://cf.geekdo-images.com/micro/img/Qbt8Cjwt_skp-UKi5bDGxYTg45w=/fit-in/64x64/pic3376065.jpg
65244,Forbidden Island,31752,https://cf.geekdo-images.com/micro/img/0sLYluEkhxRzRqWLNo_y-bPZOY0=/fit-in/64x64/pic646458.jpg
84876,The Castles of Burgundy,31737,https://cf.geekdo-images.com/micro/img/Qw22L5Wwe2q5BbvEct9dWws7MP4=/fit-in/64x64/pic1176894.jpg
11,Bohnanza,31432,https://cf.geekdo-images.com/micro/img/dp2WPKMWrHEtNAcCG9D77Phmr6I=/fit-in/64x64/pic69366.jpg
12333,Twilight Struggle,31368,https://cf.geekdo-images.com/micro/img/uStZr7_8Tbthswp3sya1c2o1cs0=/fit-in/64x64/pic361592.jpg
50,Lost Cities,29681,https://cf.geekdo-images.com/micro/img/cpX6-vLnzkX0ssHMSVCzjlLkwRg=/fit-in/64x64/pic2606107.jpg
169786,Scythe,29437,https://cf.geekdo-images.com/micro/img/Gqqd5c-C33zrLpoeb92cMxIF98s=/fit-in/64x64/pic3163924.jpg
41114,The Resistance,29400,https://cf.geekdo-images.com/micro/img/XiVrklV0qtJpOxHt31OkXRUMjk0=/fit-in/64x64/pic2576459.jpg
120677,Terra Mystica,29377,https://cf.geekdo-images.com/micro/img/0jr3gj1GDwfhwW97jEGHzgQJsz4=/fit-in/64x64/pic1356616.jpg
